dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.09579383316999257,0.02565834632712564,0.09671163221586197,1.1342393833429614
1.0,10,2,0.15,121,0.08470910359938899,0.024025873012170684,0.08552070004445457,1.062075125269913
1.0,10,3,0.15,121,0.09684039928397367,0.025928309870589684,0.09776822546153897,1.1461732499748893
1.0,20,1,0.075,441,0.08777748629816179,0.024846228408775425,0.08861848086438094,1.0983393251253548
1.0,20,2,0.075,441,0.09652430993336589,0.025828343303119936,0.0974491076643726,1.141754180390427
1.0,20,3,0.075,441,0.09197230213974168,0.024903009020120145,0.09285348716342136,1.1008493390123133
1.0,40,1,0.0375,1681,0.05809574184537808,0.025495652144840494,0.0586523561353621,1.1270474097591647
1.0,40,2,0.0375,1681,0.06056102248221019,0.027613040921455157,0.06114125658300468,1.2206475860786246
1.0,40,3,0.0375,1681,0.06828625917454831,0.031473986729162885,0.06894050863343752,1.3913225288914954
5.0,10,1,0.15,121,0.09650617950419393,0.025787115554885873,0.09743080352787478,1.139931688202605
5.0,10,2,0.15,121,0.08526741519149544,0.024103259881606665,0.08608436081019336,1.0654960485807465
5.0,10,3,0.15,121,0.0975990879793139,0.026077252288903063,0.09853418314004495,1.1527573203022425
5.0,20,1,0.075,441,0.08836336606914018,0.024936747356574307,0.08920997393923291,1.1023407581960325
5.0,20,2,0.075,441,0.09720210895224893,0.025954350928539507,0.09813340066384121,1.1473244073072455
5.0,20,3,0.075,441,0.09258831904509282,0.025002120360055908,0.0934754061160052,1.105230602857528
5.0,40,1,0.0375,1681,0.05798115216512932,0.02541453631937237,0.05853666857338423,1.1234616461762228
5.0,40,2,0.0375,1681,0.06054990771743605,0.02755894886441402,0.06113003532786297,1.2182564210113251
5.0,40,3,0.0375,1681,0.06830197778071682,0.031447631677914346,0.06895637783929776,1.3901574913362686
10.0,10,1,0.15,121,0.09877007443352959,0.02623720283611934,0.09971638879506763,1.1598280101949954
10.0,10,2,0.15,121,0.08705581928499662,0.02438172541326633,0.08788989957214163,1.07780574963806
10.0,10,3,0.15,121,0.10000080573187352,0.026591480747852957,0.10095891170852876,1.1754890335132422
10.0,20,1,0.075,441,0.0902375759824276,0.025256819244716084,0.09110214062503116,1.1164896879985564
10.0,20,2,0.075,441,0.09935710079125501,0.026393032216277926,0.10030903944209427,1.1667165219410127
10.0,20,3,0.075,441,0.09455219172183107,0.0253528712037607,0.09545809462262804,1.1207357104587206
10.0,40,1,0.0375,1681,0.05764840958981446,0.02518189876039321,0.05820073799725514,1.1131777924128188
10.0,40,2,0.0375,1681,0.060520375026172364,0.027386812096759923,0.06110021968439906,1.2106470334574506
10.0,40,3,0.0375,1681,0.068358902272514,0.031364420586108964,0.06901384772365861,1.386479105509944
