dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.07584255017849549,0.040490108301858514,0.07668694868883062,1.0
1.0,10,2,0.15,121,0.07584255008015937,0.040490108301858514,0.07668694858939967,1.0
1.0,10,3,0.15,121,0.07584255002149001,0.040490108301858514,0.07668694853007711,1.0
1.0,20,1,0.075,441,0.07584255135070275,0.040490108301858514,0.07668694987408874,1.0
1.0,20,2,0.075,441,0.07584255153263332,0.040490108301858514,0.07668695005804485,1.0
1.0,20,3,0.075,441,0.07584255156810338,0.040490108301858514,0.07668695009390981,1.0
1.0,40,1,0.0375,1681,0.07584255194453125,0.040490108301858514,0.07668695047452867,1.0
1.0,40,2,0.0375,1681,0.08952457710104088,0.04797543031464255,0.09052130544633769,1.1848679177882182
1.0,40,3,0.0375,1681,0.08425011069205386,0.04500015114488209,0.08518811538462434,1.1113862874705267
5.0,10,1,0.15,121,0.07584255268644248,0.040490108301858514,0.07668695122470003,1.0
5.0,10,2,0.15,121,0.07584255268997366,0.040490108301858514,0.07668695122827052,1.0
5.0,10,3,0.15,121,0.07584255268778028,0.040490108301858514,0.07668695122605272,1.0
5.0,20,1,0.075,441,0.07584255287300061,0.040490108301858514,0.07668695141333522,1.0
5.0,20,2,0.075,441,0.07584255294531453,0.040490108301858514,0.07668695148645424,1.0
5.0,20,3,0.075,441,0.07584255295179723,0.040490108301858514,0.07668695149300912,1.0
5.0,40,1,0.0375,1681,0.07584255294343108,0.040490108301858514,0.07668695148454982,1.0
5.0,40,2,0.0375,1681,0.08295797043828575,0.04438777562612369,0.08388158899401275,1.096262210394885
5.0,40,3,0.0375,1681,0.08393495652818027,0.04483778623686336,0.08486945242910444,1.1073762979983257
10.0,10,1,0.15,121,0.0758425530329693,0.040490108301858514,0.07668695157508493,1.0
10.0,10,2,0.15,121,0.07584255304112923,0.040490108301858514,0.0766869515833357,1.0
10.0,10,3,0.15,121,0.0758425530449399,0.040490108301858604,0.0766869515871888,1.0000000000000022
10.0,20,1,0.075,441,0.07584255308881119,0.040490108301858514,0.07668695163154854,1.0
10.0,20,2,0.075,441,0.07584255309081385,0.040490108301858146,0.07668695163357349,0.9999999999999909
10.0,20,3,0.075,441,0.07584255314917272,0.04049010830185862,0.0766869516925821,1.0000000000000027
10.0,40,1,0.0375,1681,0.07584255310757072,0.04049010830187154,0.07668695165051692,1.0000000000003217
10.0,40,2,0.0375,1681,0.0829434308541771,0.04438192854188391,0.08386688753239427,1.096117802674456
10.0,40,3,0.0375,1681,0.07584255314015233,0.04049010825610632,0.07668695168346128,0.9999999988700402
