dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
5.0,20,1,0.075,441,0.05808002261049923,0.03285939926731748,0.058468136566037,1.0
5.0,20,2,0.075,441,0.0580800226104992,0.03285939926731748,0.05846813656603697,1.0
5.0,20,3,0.075,441,0.05808002261049924,0.03285939926731748,0.05846813656603701,1.0
5.0,40,1,0.0375,1681,0.05808002261049921,0.03285939926731748,0.05846813656603698,1.0
5.0,40,2,0.0375,1681,0.0580800226104992,0.03285939926731748,0.05846813656603697,1.0
5.0,40,3,0.0375,1681,0.07442641345607906,0.0421648952697263,0.07492376053730604,1.2831913002032336
10.0,20,1,0.075,441,0.05808002261049922,0.03285939926731748,0.05846813656603699,1.0
10.0,20,2,0.075,441,0.05808002261049922,0.03285939926731748,0.05846813656603699,1.0
10.0,20,3,0.075,441,0.05808002261049926,0.03285939926731748,0.05846813656603703,1.0
10.0,40,1,0.0375,1681,0.0580800226104992,0.03285939926731748,0.05846813656603697,1.0
10.0,40,2,0.0375,1681,0.05808002261049917,0.03285939926731748,0.058468136566036936,1.0
10.0,40,3,0.0375,1681,0.07442581653329257,0.04216452169012822,0.07492315962564258,1.2831799311701289
