dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,final_delta_norm
5.0,5,1,0.3,36,14.337689017493158,7.5439367696613004,3.0358649224127794e-16
5.0,5,2,0.3,36,14.337689017493158,7.5439367696613004,4.162761087084254e-16
5.0,5,3,0.3,36,14.33768901749316,7.5439367696613004,2.7999231122480893e-15
5.0,10,1,0.15,121,14.337689017493158,7.5439367696613004,5.497204820956316e-16
5.0,10,2,0.15,121,14.33768901749316,7.5439367696613004,4.617496978030419e-16
5.0,10,3,0.15,121,14.337689017493162,7.5439367696613004,1.9220854264471173e-15
5.0,20,1,0.075,441,14.33768901749316,7.5439367696613004,8.064359943474908e-16
5.0,20,2,0.075,441,14.337689017493162,7.5439367696613004,7.128546005124202e-16
5.0,20,3,0.075,441,14.33768901749316,7.5439367696613004,2.8820385714544237e-15
