dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.05388403719928505,0.03212110518561984,0.05418566746664108,0.9999997302858533
1.0,10,2,0.15,121,0.053876935147906625,0.03212110329021265,0.05417852565963618,0.999999671277713
1.0,10,3,0.15,121,0.053878495247629964,0.03212110407076815,0.054180094492433745,0.9999996955781002
1.0,20,1,0.075,441,0.05388953948738262,0.032121108126007866,0.05419120055526356,0.9999998218265153
1.0,20,2,0.075,441,0.05388409477402531,0.03212110595357587,0.054185725363671305,0.9999997541939915
1.0,20,3,0.075,441,0.05387779564296593,0.03212110136014339,0.054179390971546046,0.9999996111904674
1.0,40,1,0.0375,1681,0.053878150409747055,0.0321211049149691,0.05417974772422883,0.9999997218599082
1.0,40,2,0.0375,1681,0.053875592551707166,0.032121103828358304,0.054177175547896465,0.9999996880313554
1.0,40,3,0.0375,1681,0.06758058761621791,0.04105319796819186,0.06795888797696051,1.2780751676608726
5.0,10,1,0.15,121,0.05388503025763295,0.03212110759563021,0.054186666083897904,0.9999998053147074
5.0,10,2,0.15,121,0.05387803540873203,0.032121106191419516,0.05417963207946496,0.9999997615985804
5.0,10,3,0.15,121,0.05387959333267516,0.032121106765910935,0.05418119872430281,0.9999997794837454
5.0,20,1,0.075,441,0.05389050091085079,0.03212110982206136,0.05419216736055597,0.9999998746283421
5.0,20,2,0.075,441,0.05388513827287489,0.032121108206505315,0.05418677470378396,0.9999998243325756
5.0,20,3,0.075,441,0.05387894347173366,0.032121104859298574,0.05418054522559139,0.9999997201267639
5.0,40,1,0.0375,1681,0.05387936192816239,0.032121107455497615,0.054180966024441564,0.9999998009520756
5.0,40,2,0.0375,1681,0.05387683171934245,0.03212110664895248,0.05417842165210303,0.9999997758425747
5.0,40,3,0.0375,1681,0.06745352447765252,0.041016658180689426,0.06783111356859337,1.2769376047583514
10.0,10,1,0.15,121,0.05388814759191965,0.03212111184065241,0.054189800868294564,0.9999999374714633
10.0,10,2,0.15,121,0.0538815080912437,0.032121111345197004,0.05418312420124304,0.9999999220468611
10.0,10,3,0.15,121,0.05388304284953801,0.0321211115365763,0.05418466755075617,0.9999999280049139
10.0,20,1,0.075,441,0.05389347834023705,0.03212111266048237,0.054195161456897206,0.9999999629945496
10.0,20,2,0.075,441,0.05388839306318896,0.032121112099015504,0.054190047713654765,0.9999999455148673
10.0,20,3,0.075,441,0.05388255728472359,0.03212111104801271,0.05418417926786322,0.999999912794869
10.0,40,1,0.0375,1681,0.053883138745615525,0.03212111180365182,0.05418476398363755,0.9999999363195546
10.0,40,2,0.0375,1681,0.05388069147433113,0.03212111154040004,0.054182303013099536,0.9999999281239552
10.0,40,3,0.0375,1681,0.06682538541437033,0.04080930506219357,0.06719945832940005,1.2704822520744525
