dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.0957938331699929,0.02565834632712585,0.09671163221586233,1.134239383342957
1.0,10,2,0.15,121,0.08470910359939028,0.02402587301217117,0.0855207000444559,1.0620751252699216
1.0,10,3,0.15,121,0.09684039928397478,0.025928309870590107,0.09776822546154013,1.1461732499748944
1.0,20,1,0.075,441,0.08777748629816183,0.02484622840877567,0.088618480864381,1.0983393251253526
1.0,20,2,0.075,441,0.09652430993336639,0.025828343303120217,0.09744910766437313,1.1417541803904259
1.0,20,3,0.075,441,0.09197230213974165,0.024903009020120232,0.09285348716342136,1.100849339012304
1.0,40,1,0.0375,1681,0.058095741845378274,0.025495652144840616,0.05865235613536231,1.1270474097591567
1.0,40,2,0.0375,1681,0.060561022482211305,0.027613040921455792,0.061141256583005815,1.2206475860786379
1.0,40,3,0.0375,1681,0.06828625917454915,0.03147398672916331,0.0689405086334384,1.3913225288914974
5.0,10,1,0.15,121,0.09650617950419421,0.02578711555488607,0.09743080352787509,1.1399316882026
5.0,10,2,0.15,121,0.08526741519149598,0.02410325988160697,0.08608436081019392,1.0654960485807474
5.0,10,3,0.15,121,0.09759908797931403,0.02607725228890326,0.09853418314004511,1.1527573203022374
5.0,20,1,0.075,441,0.08836336606914041,0.024936747356574532,0.08920997393923316,1.1023407581960292
5.0,20,2,0.075,441,0.09720210895224919,0.02595435092853974,0.09813340066384149,1.1473244073072422
5.0,20,3,0.075,441,0.09258831904509299,0.025002120360056113,0.0934754061160054,1.1052306028575238
5.0,40,1,0.0375,1681,0.05798115216512961,0.025414536319372502,0.05853666857338454,1.1234616461762152
5.0,40,2,0.0375,1681,0.06054990771743643,0.02755894886441421,0.06113003532786337,1.218256421011319
5.0,40,3,0.0375,1681,0.06830197778071719,0.03144763167791454,0.06895637783929813,1.3901574913362607
10.0,10,1,0.15,121,0.09877007443352973,0.026237202836119494,0.09971638879506779,1.1598280101949883
10.0,10,2,0.15,121,0.08705581928499675,0.024381725413266525,0.08788989957214179,1.0778057496380555
10.0,10,3,0.15,121,0.10000080573187367,0.026591480747853138,0.10095891170852894,1.1754890335132362
10.0,20,1,0.075,441,0.09023757598242789,0.02525681924471632,0.09110214062503147,1.1164896879985533
10.0,20,2,0.075,441,0.09935710079125536,0.02639303221627818,0.10030903944209464,1.16671652194101
10.0,20,3,0.075,441,0.09455219172183126,0.025352871203760886,0.09545809462262825,1.1207357104587155
10.0,40,1,0.0375,1681,0.05764840958981485,0.0251818987603934,0.058200737997255544,1.113177792412814
10.0,40,2,0.0375,1681,0.060520375026172926,0.027386812096760225,0.06110021968439964,1.2106470334574495
10.0,40,3,0.0375,1681,0.06835890227251448,0.0313644205861092,0.06901384772365912,1.3864791055099377
