dt,n_dom,order,h,ndof,l2_err_u,l2_err_v,rel_err_u,rel_err_v
1.0,10,1,0.15,121,0.07584255017849553,0.040490108301858535,0.07668694868883066,1.0
1.0,10,2,0.15,121,0.0758425500801594,0.040490108301858535,0.0766869485893997,1.0
1.0,10,3,0.15,121,0.07584255002149004,0.040490108301858535,0.07668694853007714,1.0
1.0,20,1,0.075,441,0.07584255135070278,0.040490108301858535,0.07668694987408876,1.0
1.0,20,2,0.075,441,0.07584255153263335,0.040490108301858535,0.07668695005804488,1.0
1.0,20,3,0.075,441,0.07584255156810342,0.040490108301858535,0.07668695009390986,1.0
1.0,40,1,0.0375,1681,0.07584255194453128,0.040490108301858535,0.0766869504745287,1.0
1.0,40,2,0.0375,1681,0.0895245771010409,0.047975430314642555,0.09052130544633771,1.1848679177882178
1.0,40,3,0.0375,1681,0.0842501106920539,0.0450001511448821,0.08518811538462438,1.1113862874705265
5.0,10,1,0.15,121,0.07584255268644254,0.040490108301858535,0.07668695122470008,1.0
5.0,10,2,0.15,121,0.0758425526899737,0.040490108301858535,0.07668695122827056,1.0
5.0,10,3,0.15,121,0.07584255268778031,0.040490108301858535,0.07668695122605275,1.0
5.0,20,1,0.075,441,0.07584255287300065,0.040490108301858535,0.07668695141333526,1.0
5.0,20,2,0.075,441,0.07584255294531456,0.040490108301858535,0.07668695148645427,1.0
5.0,20,3,0.075,441,0.07584255295179726,0.040490108301858535,0.07668695149300915,1.0
5.0,40,1,0.0375,1681,0.07584255294343112,0.040490108301858535,0.07668695148454986,1.0
5.0,40,2,0.0375,1681,0.08295797043828579,0.044387775626123706,0.0838815889940128,1.0962622103948847
5.0,40,3,0.0375,1681,0.0839349565281803,0.044837786236863374,0.08486945242910447,1.1073762979983255
10.0,10,1,0.15,121,0.07584255303296934,0.040490108301858535,0.07668695157508497,1.0
10.0,10,2,0.15,121,0.07584255304112926,0.040490108301858535,0.07668695158333573,1.0
10.0,10,3,0.15,121,0.07584255304493995,0.04049010830185862,0.07668695158718884,1.000000000000002
10.0,20,1,0.075,441,0.07584255308881123,0.040490108301858535,0.07668695163154858,1.0
10.0,20,2,0.075,441,0.07584255309081389,0.04049010830185816,0.07668695163357353,0.9999999999999908
10.0,20,3,0.075,441,0.07584255314917275,0.04049010830185864,0.07668695169258213,1.0000000000000027
10.0,40,1,0.0375,1681,0.07584255310757076,0.04049010830187156,0.07668695165051698,1.0000000000003217
10.0,40,2,0.0375,1681,0.08294343085417713,0.04438192854188392,0.0838668875323943,1.0961178026744558
10.0,40,3,0.0375,1681,0.07584255314015237,0.040490108256106334,0.07668695168346132,0.9999999988700401
